X99.7,Not known
U37.2,Computed tomography of kidneys
U37.8,Other specified other diagnostic imaging of genitourinary system
U37.9,Unspecified other diagnostic imaging of genitourinary system
U40.1,Diagnostic intradermal inoculation of skin
U40.2,Diagnostic ultraviolet skin test
U40.8,Other specified diagnostic tests on skin
U40.9,Unspecified diagnostic tests on skin
U50.1,Delivery of rehabilitation for amputation of limb
U50.2,Delivery of rehabilitation for hip fracture
U50.3,Delivery of rehabilitation for joint replacement
U50.4,Delivery of rehabilitation for rheumatoid arthritis
U50.5,Delivery of rehabilitation for osteoarthritis
U50.8,Other specified rehabilitation for musculoskeletal disorders
U50.9,Unspecified rehabilitation for musculoskeletal disorders
U51.1,Delivery of rehabilitation for brain injuries
U51.2,Delivery of rehabilitation for spinal cord injury
U51.3,Delivery of rehabilitation for pain syndromes
U51.8,Other specified rehabilitation for neurological disorders
U51.9,Unspecified rehabilitation for neurological disorders
U52.2,Delivery of rehabilitation for alcohol addiction
U53.2,Delivery of rehabilitation following other plastic reconstructive surgery NEC
U53.3,Delivery of rehabilitation for burns
U53.4,Delivery of rehabilitation for trauma NEC
U53.8,Other specified rehabilitation for trauma and reconstructive surgery
U53.9,Unspecified rehabilitation for trauma and reconstructive surgery
U54.1,Delivery of rehabilitation for acute cardiac disorders
U54.2,Delivery of rehabilitation for respiratory disorders
U54.3,Delivery of rehabilitation for stroke
U54.8,Other specified rehabilitation for other disorders
U54.9,Unspecified rehabilitation for other disorders
V04.8,Other specified reshaping of cranium
V04.9,Unspecified reshaping of cranium
V06.8,Other specified excision of maxilla
V07.2,Partial excision of bone of face NEC
V07.3,Excision of lesion of bone of face
V08.1,Reduction of fracture of alveolus of maxilla
V08.2,Open reduction of fracture of maxilla NEC
V08.8,Other specified reduction of fracture of maxilla
V09.2,Reduction of fracture of nasal bone NEC
V09.3,Reduction of fracture of zygomatic complex of bones
V09.9,Unspecified reduction of fracture of other bone of face
V10.4,Low level osteotomy of maxilla
V11.1,Intermaxillary fixation of maxilla
V11.2,Internal fixation of maxilla NEC
V11.4,Fixation of maxilla NEC
V11.5,Removal of fixation from bone of face
V11.8,Other specified fixation of bone of face
V13.1,Reconstruction of bone of face
V13.2,Alveolar bone graft to maxilla
V13.3,Biopsy of lesion of bone of face
V13.8,Other specified other operations on bone of face
V14.3,Partial excision of mandible NEC
V14.4,Excision of lesion of mandible
V14.8,Other specified excision of mandible
V15.1,Reduction of fracture of alveolus of mandible
V15.2,Open reduction of fracture of mandible NEC
V15.3,Closed reduction of fracture of mandible NEC
V16.1,Osteotomy of mandible and advancement of mandible
V16.3,Osteotomy of alveolar segment of mandible
V17.1,Intermaxillary fixation of mandible
V17.2,Internal fixation of mandible NEC
V17.3,Extraoral fixation of mandible
V17.4,Removal of fixation from mandible
V17.8,Other specified fixation of mandible
V17.9,Unspecified fixation of mandible
V19.1,Reconstruction of mandible
V19.3,Alveolar bone graft to mandible
V19.4,Biopsy of lesion of mandible
V19.5,Manipulation of mandible NEC
V19.8,Other specified other operations on mandible
V19.9,Unspecified other operations on mandible
V20.1,Total prosthetic replacement of temporomandibular joint
V20.9,Unspecified reconstruction of temporomandibular joint
V21.2,Reduction of dislocation of temporomandibular joint
V21.8,Other specified other operations on temporomandibular joint
V21.9,Unspecified other operations on temporomandibular joint
V22.2,Primary anterior decompression of cervical spinal cord NEC
V24.1,Primary decompression of thoracic spinal cord and fusion of joint of thoracic spine
V24.3,Revisional decompression of thoracic spinal cord NEC
V25.2,Primary extended decompression of lumbar spinal cord NEC
V25.4,Primary posterior laminectomy decompression of lumbar spinal cord
V25.5,Primary posterior decompression of lumbar spinal cord NEC
V26.2,Revisional extended decompression of lumbar spinal cord NEC
V26.3,Revisional posterior decompression of lumbar spinal cord and intertransverse fusion of joint of lumbar spine
V27.8,Other specified decompression operations on unspecified spine
V27.9,Unspecified decompression operations on unspecified spine
V28.8,Other specified insertion of lumbar interspinous process spacer
V29.4,Primary anterior excision of cervical intervertebral disc and interbody fusion of joint of cervical spine
V32.8,Other specified revisional excision of thoracic intervertebral disc
V32.9,Unspecified revisional excision of thoracic intervertebral disc
V33.7,Primary microdiscectomy of lumbar intervertebral disc
V33.8,Other specified primary excision of lumbar intervertebral disc
V36.2,Prosthetic replacement of thoracic intervertebral disc
V36.3,Prosthetic replacement of lumbar intervertebral disc
V37.3,Transoral fusion of atlantoaxial joint
V37.8,Other specified primary fusion of joint of cervical spine
V44.4,Vertebroplasty of fracture of spine
V44.5,Balloon kyphoplasty of fracture of spine
V45.9,Unspecified other reduction of fracture of spine
V46.5,Removal of fixation device from spine
V48.1,Radiofrequency controlled thermal denervation of spinal facet joint of cervical vertebra
V48.3,Radiofrequency controlled thermal denervation of spinal facet joint of thoracic vertebra
V48.5,Radiofrequency controlled thermal denervation of spinal facet joint of lumbar vertebra
V48.7,Radiofrequency controlled thermal denervation of spinal facet joint of vertebra NEC
V49.8,Other specified exploration of spine
V50.8,Other specified manipulation of spine
V50.9,Unspecified manipulation of spine
V52.3,Discography of intervertebral disc
V54.4,Injection around spinal facet of spine
V54.8,Other specified other operations on spine
V55.9,Unspecified levels of spine
V62.1,Primary percutaneous intradiscal radiofrequency thermocoagulation to cervical intervertebral disc
V62.2,Primary percutaneous intradiscal radiofrequency thermocoagulation to thoracic intervertebral disc
V62.3,Primary percutaneous intradiscal radiofrequency thermocoagulation to lumbar intervertebral disc
W03.2,Osteotomy of multiple metatarsals
W03.3,Total correction of claw toe
W03.4,Transfer of extensor hallucis longus tendon to head of first metatarsal and fusion of interphalangeal joints
W03.6,Osteotomy of multiple metatarsals and fixation HFQ
W03.8,Other specified complex reconstruction of forefoot
W03.9,Unspecified complex reconstruction of forefoot
W04.1,Localised fusion of joints of hindfoot
W04.4,Stripping of muscle from os calcis
W04.5,Release of medial soft tissue of hindfoot and excision of lateral wedge of os calcis and fusion of os calcis
W06.4,Total excision of sesamoid bone NEC
W06.5,Total excision of bone of foot NEC
W06.8,Other specified total excision of bone
W06.9,Unspecified total excision of bone
W07.2,Excision of periarticular ectopic bone
W08.1,Excision of natural protuberance of bone
W08.2,Excision of overgrowth of bone
W08.3,Excision of excrescence of bone
W08.4,Excision of fragment of bone
W08.5,Partial excision of bone NEC
W08.8,Other specified other excision of bone
W08.9,Unspecified other excision of bone
W09.1,Excision of lesion of bone
W09.2,Curettage of lesion of bone and graft HFQ
W09.3,Curettage of lesion of bone NEC
W09.4,Destruction of lesion of bone NEC
W10.3,Open osteoclasis and angular correction NEC
W12.4,Angulation periarticular osteotomy and external fixation NEC
W13.2,Displacement osteotomy
W14.1,Angulation diaphyseal osteotomy and internal fixation HFQ
W15.3,Osteotomy of first metatarsal bone NEC
W15.4,Osteotomy of head of metatarsal bone
W15.5,Osteotomy of midfoot tarsal bone
W15.6,Cuneiform osteotomy of proximal phalanx with resection of head of first metatarsal
W15.7,Osteotomy of bone of foot and fixation HFQ
W15.8,Other specified division of bone of foot
W16.1,Multiple osteotomy and internal fixation HFQ
W16.3,Multiple osteotomy NEC
W16.4,Osteotomy and internal fixation NEC
W16.5,Osteotomy and external fixation NEC
W17.4,Shortening of bone
W17.5,Revision of reconstruction of bone
W17.8,Other specified other reconstruction of bone
W18.3,Sequestrectomy of bone
W18.9,Unspecified drainage of bone
W19.1,Primary open reduction of fracture of neck of femur and open fixation using pin and plate
W19.4,Primary open reduction of fracture of small bone and fixation using screw
W19.5,Primary open reduction of fragment of bone and fixation using screw
W19.6,Primary open reduction of fragment of bone and fixation using wire system
W19.8,Other specified primary open reduction of fracture of bone and intramedullary fixation
W19.9,Unspecified primary open reduction of fracture of bone and intramedullary fixation
W20.1,Primary open reduction of fracture of long bone and extramedullary fixation using plate NEC
W20.2,Primary open reduction of fracture of long bone and extramedullary fixation using cerclage
W20.3,Primary open reduction of fracture of long bone and extramedullary fixation using suture
W20.4,Primary open reduction of fracture of long bone and complex extramedullary fixation NEC
W20.5,Primary open reduction of fracture of ankle and extramedullary fixation NEC
W20.8,Other specified primary open reduction of fracture of bone and extramedullary fixation
W20.9,Unspecified primary open reduction of fracture of bone and extramedullary fixation
W21.1,Primary reduction of intraarticular fracture of bone using arthrotomy as approach
W21.2,Primary excision of intraarticular fragment of intraarticular fracture of bone
W21.9,Unspecified primary open reduction of intraarticular fracture of bone
W22.9,Unspecified other primary open reduction of fracture of bone
W23.1,Secondary open reduction of fracture of bone and intramedullary fixation HFQ
W23.2,Secondary open reduction of fracture of bone and extramedullary fixation HFQ
W23.6,Secondary open reduction of fracture of bone and internal fixation HFQ
W23.8,Other specified secondary open reduction of fracture of bone
W23.9,Unspecified secondary open reduction of fracture of bone
W24.1,Closed reduction of intracapsular fracture of neck of femur and fixation using nail or screw
W24.2,Closed reduction of fracture of long bone and rigid internal fixation NEC
W24.3,Closed reduction of fracture of long bone and flexible internal fixation HFQ
W24.8,Other specified closed reduction of fracture of bone and internal fixation
W24.9,Unspecified closed reduction of fracture of bone and internal fixation
W25.2,Closed reduction of fracture of bone and fixation using functional bracing system
W25.3,Remanipulation of fracture of bone and external fixation HFQ
W25.9,Unspecified closed reduction of fracture of bone and external fixation
W26.1,Manipulation of fracture of bone and skeletal traction NEC
W26.2,Manipulation of fracture of bone NEC
W26.3,Remanipulation of fracture of bone and skeletal traction NEC
W26.4,Remanipulation of fracture of bone NEC
W26.8,Other specified other closed reduction of fracture of bone
W26.9,Unspecified other closed reduction of fracture of bone
W27.4,Removal of staple from epiphysis
W27.9,Unspecified fixation of epiphysis
W28.1,Application of internal fixation to bone NEC
W28.2,Adjustment to internal fixation of bone NEC
W28.3,Removal of internal fixation from bone NEC
W28.8,Other specified other internal fixation of bone
W28.9,Unspecified other internal fixation of bone
W29.1,Application of skeletal traction to bone NEC
W29.2,Adjustment to skeletal traction of bone
W29.3,Removal of skeletal traction from bone
W29.8,Other specified skeletal traction of bone
W30.1,Application of external fixation to bone NEC
W30.2,Adjustment to external fixation of bone NEC
W30.3,Removal of external fixation from bone NEC
W30.8,Other specified other external fixation of bone
W30.9,Unspecified other external fixation of bone
W31.5,Vascularised pedicle autograft of bone
W31.8,Other specified other autograft of bone
W32.4,Synthetic graft of bone
W32.8,Other specified other graft of bone
W33.5,Attention to electromagnetic stimulator in bone
W33.6,Debridement of bone NEC
W33.7,Lavage of bone
W33.8,Other specified other open operations on bone
W34.2,Allograft of bone marrow NEC
W34.4,Allograft of bone marrow from matched unrelated donor
W35.1,Introduction of therapeutic substance into bone
W35.3,Removal of implanted substance from bone
W35.5,Therapeutic percutaneous puncture of bone
W35.9,Unspecified therapeutic puncture of bone
W36.1,Percutaneous needle biopsy of lesion of bone
W36.2,Needle biopsy of lesion of bone NEC
W36.3,Diagnostic drilling of bone
W36.4,Diagnostic puncture of sternum
W36.5,Diagnostic extraction of bone marrow NEC
W36.8,Other specified diagnostic puncture of bone
W36.9,Unspecified diagnostic puncture of bone
W37.1,Primary total prosthetic replacement of hip joint using cement
W37.3,Revision of total prosthetic replacement of hip joint using cement
W37.4,Revision of one component of total prosthetic replacement of hip joint using cement
W37.8,Other specified total prosthetic replacement of hip joint using cement
W38.1,Primary total prosthetic replacement of hip joint not using cement
W38.2,Conversion to total prosthetic replacement of hip joint not using cement
W38.3,Revision of total prosthetic replacement of hip joint not using cement
W38.4,Revision of one component of total prosthetic replacement of hip joint not using cement
W39.0,Conversion from previous total prosthetic replacement of hip joint NEC
W39.1,Primary total prosthetic replacement of hip joint NEC
W39.2,Conversion to total prosthetic replacement of hip joint NEC
W40.1,Primary total prosthetic replacement of knee joint using cement
W40.3,Revision of total prosthetic replacement of knee joint using cement
W41.1,Primary total prosthetic replacement of knee joint not using cement
W41.9,Unspecified total prosthetic replacement of knee joint not using cement
W42.1,Primary total prosthetic replacement of knee joint NEC
W42.4,Attention to total prosthetic replacement of knee joint NEC
W43.2,Conversion to total prosthetic replacement of joint using cement NEC
W43.4,Revision of one component of total prosthetic replacement of joint using cement NEC
W45.1,Primary total prosthetic replacement of joint NEC
W45.3,Revision of total prosthetic replacement of joint NEC
W45.5,Revision of one component of total prosthetic replacement of joint NEC
W46.1,Primary prosthetic replacement of head of femur using cement
W48.1,Primary prosthetic replacement of head of femur NEC
W48.2,Conversion to prosthetic replacement of head of femur NEC
W48.3,Revision of prosthetic replacement of head of femur NEC
W48.8,Other specified other prosthetic replacement of head of femur
W49.1,Primary prosthetic replacement of head of humerus using cement
W49.4,Resurfacing hemiarthroplasty of head of humerus using cement
W49.8,Other specified prosthetic replacement of head of humerus using cement
W49.9,Unspecified prosthetic replacement of head of humerus using cement
W50.1,Primary prosthetic replacement of head of humerus not using cement
W50.3,Revision of prosthetic replacement of head of humerus not using cement
W51.5,Resurfacing hemiarthroplasty of head of humerus NEC
W54.1,Primary prosthetic replacement of articulation of bone NEC
W54.4,Attention to prosthetic replacement of articulation of bone NEC
W55.3,Conversion to prosthetic interposition arthroplasty of joint
W55.4,Attention to prosthetic interposition arthroplasty of joint NEC
W55.8,Other specified prosthetic interposition reconstruction of joint
W55.9,Unspecified prosthetic interposition reconstruction of joint
W56.2,Primary interposition arthroplasty of joint NEC
W56.3,Revision of interposition arthroplasty of joint NEC
W57.1,Primary excision arthroplasty of first metatarsophalangeal joint
W57.2,Primary excision arthroplasty of joint NEC
W57.3,Revision of excision arthroplasty of joint
W57.4,Conversion to excision arthroplasty of joint
W57.8,Other specified excision reconstruction of joint
W57.9,Unspecified excision reconstruction of joint
W58.1,Primary resurfacing arthroplasty of joint
W58.2,Revision of resurfacing arthroplasty of joint
W59.2,Fusion of first metatarsophalangeal joint and excision of lesser metatarsophalangeal joint
W59.3,Fusion of first metatarsophalangeal joint NEC
W59.5,Fusion of interphalangeal joint of toe NEC
W60.3,Conversion to arthrodesis and extraarticular bone graft NEC
W60.8,Other specified fusion of other joint and extraarticular bone graft
W61.1,Primary arthrodesis and articular bone graft NEC
W62.1,Primary arthrodesis and internal fixation of joint NEC
W62.9,Unspecified other primary fusion of other joint
W65.4,Primary open reduction of fracture dislocation of joint and internal fixation NEC
W65.9,Unspecified primary open reduction of traumatic dislocation of joint
W66.3,Primary manipulative closed reduction of fracture dislocation of joint NEC
W66.4,Primary closed reduction of fracture dislocation of joint and internal fixation
W66.9,Unspecified primary closed reduction of traumatic dislocation of joint
W67.3,Secondary open reduction of fracture dislocation of joint NEC
W67.5,Remanipulation of fracture dislocation of joint
W67.6,Remanipulation of traumatic dislocation of joint
W69.2,Subtotal synovectomy
W69.3,Partial synovectomy
W69.4,Open biopsy of synovial membrane of joint
W69.8,Other specified open operations on synovial membrane of joint
W70.3,Open repair of semilunar cartilage
W71.2,Open excision of intraarticular osteophyte
W73.1,Primary extraarticular prosthetic augmentation of intraarticular ligament NEC
W74.2,Reconstruction of intraarticular ligament NEC
W74.9,Unspecified other reconstruction of ligament
W75.2,Open repair of intraarticular ligament NEC
W75.3,Open repair of extraarticular ligament NEC
W76.3,Biopsy of lesion of ligament
W76.8,Other specified other operations on ligament
W76.9,Unspecified other operations on ligament
W77.1,Repair of capsule of joint for stabilisation of joint
W77.8,Other specified stabilising operations on joint
W77.9,Unspecified stabilising operations on joint
W78.1,Release of contracture of shoulder joint
W78.3,Release of contracture of knee joint
W78.5,Release of contracture of elbow joint
W78.8,Other specified release of contracture of joint
W79.1,Soft tissue correction of hallux valgus
W79.2,Excision of bunion NEC
W80.1,Open debridement and irrigation of joint
W80.2,Open debridement of joint NEC
W80.3,Open irrigation of joint NEC
W81.1,Excision of lesion of joint NEC
W81.3,Drainage of joint
W81.4,Incision of joint NEC
W81.6,Capsulorraphy of joint
W81.9,Unspecified other open operations on joint
W82.1,Endoscopic total excision of semilunar cartilage
W82.2,Endoscopic resection of semilunar cartilage NEC
W82.3,Endoscopic repair of semilunar cartilage
W82.8,Other specified therapeutic endoscopic operations on semilunar cartilage
W82.9,Unspecified therapeutic endoscopic operations on semilunar cartilage
W83.3,Endoscopic shaving of articular cartilage
W83.6,Endoscopic excision of articular cartilage NEC
W83.8,Other specified therapeutic endoscopic operations on other articular cartilage
W84.3,Endoscopic division of synovial plica
W84.4,Endoscopic decompression of joint
W84.5,Endoscopic drilling of epiphysis for repair of articular cartilage
W84.7,Endoscopic repair of superior labrum anterior to posterior tear
W85.1,Endoscopic removal of loose body from knee joint
W85.2,Endoscopic irrigation of knee joint
W85.8,Other specified therapeutic endoscopic operations on cavity of knee joint
W86.1,Endoscopic removal of loose body from joint NEC
W86.8,Other specified therapeutic endoscopic operations on cavity of other joint
W87.1,Diagnostic endoscopic examination of knee joint and biopsy of lesion of knee joint
W87.9,Unspecified diagnostic endoscopic examination of knee joint
W88.1,Diagnostic endoscopic examination of joint and biopsy of lesion of joint NEC
W88.9,Unspecified diagnostic endoscopic examination of other joint
W89.1,Endoscopic chondroplasty NEC
W90.1,Aspiration of joint
W90.2,Arthrography
W90.3,Injection of therapeutic substance into joint
W90.4,Injection into joint NEC
W90.8,Other specified puncture of joint
W90.9,Unspecified puncture of joint
W91.1,Manipulation of joint using traction NEC
W91.2,Ponsetti manipulation
W91.3,Manipulation of prosthetic joint NEC
W91.8,Other specified other manipulation of joint
W91.9,Unspecified other manipulation of joint
W92.1,Biopsy of lesion of joint NEC
W92.2,Distension of joint
W92.3,Examination of joint under image intensifier
W92.4,Examination of joint under anaesthetic
W92.5,Examination of joint NEC
W92.8,Other specified other operations on joint
W92.9,Unspecified other operations on joint
W93.0,Conversion from previous hybrid prosthetic replacement of hip joint using cemented acetabular component
W93.2,Conversion to hybrid prosthetic replacement of hip joint using cemented acetabular component
W94.0,Conversion from previous hybrid prosthetic replacement of hip joint using cemented femoral component
W94.1,Primary hybrid prosthetic replacement of hip joint using cemented femoral component
W95.1,Primary hybrid prosthetic replacement of hip joint using cement NEC
W95.2,Conversion to hybrid prosthetic replacement of hip joint using cement NEC
W95.4,Attention to hybrid prosthetic replacement of hip joint using cement NEC
W95.9,Unspecified hybrid prosthetic replacement of hip joint using cement
W96.3,Revision of total prosthetic replacement of shoulder joint using cement
W96.6,Revision of reverse polarity total prosthetic replacement of shoulder joint using cement
W98.0,Conversion from total prosthetic replacement of shoulder joint NEC
W98.1,Primary total prosthetic replacement of shoulder joint NEC
W98.2,Conversion to total prosthetic replacement of shoulder joint NEC
W98.3,Revision of total prosthetic replacement of shoulder joint NEC
W99.8,Other specified graft of cord blood stem cells to bone marrow
W99.9,Unspecified graft of cord blood stem cells to bone marrow
X02.1,Replantation of whole leg
X03.8,Other specified replantation of other organ
X04.8,Other specified transplantation between systems
X05.3,Attention to prosthesis for limb
X05.8,Other specified implantation of prosthesis for limb
X07.1,Forequarter amputation
X07.2,Disarticulation of shoulder
X08.1,Amputation of hand at wrist
X08.2,Amputation of thumb
X08.3,Amputation of phalanx of finger
X08.4,Amputation of finger NEC
X08.8,Other specified amputation of hand
X08.9,Unspecified amputation of hand
X09.1,Hindquarter amputation
X09.5,Amputation of leg below knee
X10.2,Disarticulation of tarsal bones
X10.3,Disarticulation of metatarsal bones
X10.4,Amputation through metatarsal bones
X10.8,Other specified amputation of foot
X10.9,Unspecified amputation of foot
X11.1,Amputation of great toe
X11.2,Amputation of phalanx of toe
X11.8,Other specified amputation of toe
X12.1,Reamputation at higher level
X12.3,Shortening of length of amputation stump
X12.4,Revision of coverage of amputation stump
X12.5,Drainage of amputation stump
X12.8,Other specified operations on amputation stump
X14.1,Total exenteration of pelvis
X14.2,Anterior exenteration of pelvis
X14.8,Other specified clearance of pelvis
X15.1,Combined operations for transformation from male to female
X15.2,Combined operations for transformation from female to male
X15.8,Other specified operations for sexual transformation
X17.1,Combined operations to separate conjoined twins
X17.9,Unspecified separation of conjoined twins
X19.1,Reduction of sprengel deformity
X19.2,Correction of obstetric palsy
X19.9,Unspecified correction of congenital deformity of shoulder or upper arm
X20.1,Excision of anlage of radius
X20.9,Unspecified correction of congenital deformity of forearm
X21.1,Reduction of gigantism of hand
X21.6,Amputation of supernumerary finger NEC
X21.7,Reconstruction of radial club hand
X21.8,Other specified correction of congenital deformity of hand
X21.9,Unspecified correction of congenital deformity of hand
X22.1,Open reduction of congenital deformity of hip
X22.2,Primary osteotomy of pelvis for correction of congenital deformity of hip
X22.4,Intraarticular soft tissue procedures for correction of congenital deformity of hip
X22.9,Unspecified correction of congenital deformity of hip
X23.6,Reversal of rotation plasty of ankle for correction of congenital deformity of leg
X24.1,Release of pantalar joints for correction of congenital deformity of foot
X24.2,Posterior release of joints of foot for correction of congenital deformity of foot
X24.8,Other specified primary correction of congenital deformity of foot
X25.1,Osteotomy of body of os calcis
X25.3,Reduction of gigantism of foot
X25.4,Separation of tarsal coalition
X25.8,Other specified other correction of congenital deformity of foot
X25.9,Unspecified other correction of congenital deformity of foot
X27.1,Release of streeter band
X27.3,Amputation of supernumerary toe
X27.5,Correction of congenital crossed toes
X27.9,Unspecified correction of minor congenital deformity of foot
X28.1,Intermittent intravenous infusion of therapeutic substance
X28.2,Intermittent subcutaneous infusion of therapeutic substance
X28.8,Other specified intermittent infusion of therapeutic substance
X28.9,Unspecified intermittent infusion of therapeutic substance
X29.1,Continuous subcutaneous infusion of insulin
X29.2,Continuous intravenous infusion of therapeutic substance NEC
X29.3,Continuous subcutaneous infusion of therapeutic substance NEC
X29.8,Other specified continuous Infusion of therapeutic substance
X29.9,Unspecified continuous Infusion of therapeutic substance
X30.1,Injection of rh immune globulin
X30.2,Injection of gamma globulin
X30.3,Injection of immune serum NEC
X30.4,Injection of thrombin NEC
X30.5,Injection of sclerosing substance NEC
X30.6,Injection of anaesthetic agent NEC
X30.8,Other specified injection of therapeutic substance
X30.9,Unspecified injection of therapeutic substance
X31.1,Intravenous cholecystography
X31.2,Intravenous pyelography
X31.3,Intravenous injection of radiocontrast material NEC
X31.8,Other specified injection of radiocontrast material
X31.9,Unspecified injection of radiocontrast material
X32.1,Neonatal exchange blood transfusion
X32.2,Exchange of plasma (single)
X32.3,Exchange of plasma (2-9)
X32.4,Exchange of plasma (10-19)
X32.5,Exchange of plasma (>19)
X32.6,Red cell exchange
X32.7,Leucopheresis
X32.8,Other specified exchange blood transfusion
X32.9,Unspecified exchange blood transfusion
X33.1,Intraarterial blood transfusion
X33.2,Intravenous blood transfusion of packed cells
X33.3,Intravenous blood transfusion of platelets
X33.4,Autologous peripheral blood stem cell transplant
X33.5,Syngeneic peripheral blood stem cell transplant
X33.6,Allogeneic peripheral blood stem cell transplant
X33.8,Other specified other blood transfusion
X33.9,Unspecified other blood transfusion
X34.1,Transfusion of coagulation factor
X34.2,Transfusion of plasma NEC
X34.3,Transfusion of serum NEC
X34.4,Transfusion of blood expander
X34.8,Other specified other intravenous transfusion
X34.9,Unspecified other intravenous transfusion
X35.1,Intravenous induction of labour
X35.2,Intravenous chemotherapy
X35.3,Intravenous immunotherapy
X35.4,Intravenous injection of non radioactive diagnostic substance
X35.5,Intravenous injection of antimicrobial therapy
X35.8,Other specified other intravenous injection
X35.9,Unspecified other intravenous injection
X36.1,Blood donation
X36.2,Venesection
X36.3,Venous sampling
X36.8,Other specified blood withdrawal
X36.9,Unspecified blood withdrawal
X37.1,Intramuscular calcitonin therapy
X37.2,Intramuscular gold therapy
X37.3,Intramuscular chemotherapy
X37.4,Intramuscular immunotherapy
X37.5,Intramuscular injection for local action
X37.6,Intramuscular hormone therapy
X37.8,Other specified intramuscular injection
X37.9,Unspecified intramuscular injection
X38.1,Injection of triamcinolone for local action
X38.2,Injection of steroid for local action NEC
X38.3,Injection of hormone for local action NEC
X38.4,Subcutaneous chemotherapy
X38.5,Subcutaneous immunotherapy
X38.6,Subcutaneous injection for local action NEC
X38.7,Subcutaneous injection of haematological growth factor
X38.8,Other specified subcutaneous injection
X38.9,Unspecified subcutaneous injection
X39.1,Oral administration of therapeutic substance
X39.2,Sublingual administration of therapeutic substance
X39.3,Intranasal administration of therapeutic substance
X39.4,Inhalation administration of therapeutic substance
X39.5,Transdermal administration of therapeutic substance
X39.6,Intraocular administration of therapeutic substance
X39.8,Other specified other route of administration of therapeutic substance
X39.9,Unspecified other route of administration of therapeutic substance
X40.1,Renal dialysis
X40.2,Peritoneal dialysis NEC
X40.3,Haemodialysis NEC
X40.6,Continuous ambulatory peritoneal dialysis
X40.9,Unspecified compensation for renal failure
X41.1,Insertion of ambulatory peritoneal dialysis catheter
X41.2,Removal of ambulatory peritoneal dialysis catheter
X41.8,Other specified placement of ambulatory apparatus for compensation for renal failure
X41.9,Unspecified placement of ambulatory apparatus for compensation for renal failure
X42.1,Insertion of temporary peritoneal dialysis catheter
X42.8,Other specified placement of other apparatus for compensation for renal failure
X43.1,Extracorporeal albumin haemodialysis
X43.8,Other specified compensation for liver failure
X43.9,Unspecified compensation for liver failure
X44.1,Intravenous injection of vaccine
X44.2,Intramuscular injection of vaccine
X44.3,Subcutaneous injection of vaccine
X44.4,Oral administration of vaccine
X44.8,Other specified administration of vaccine
X44.9,Unspecified administration of vaccine
X45.1,Donation of kidney
X45.2,Donation of heart
X45.3,Donation of lobe of lung
X45.8,Other specified donation of organ
X45.9,Unspecified donation of organ
X46.1,Donation of bone marrow
X46.2,Donation of skin
X46.9,Unspecified donation of other tissue
X47.1,Low-density lipoprotein apheresis
X47.8,Other specified
X47.9,Unspecified
X48.1,Application of plaster cast
X48.2,Change of plaster cast
X48.3,Removal of plaster cast
X48.8,Other specified immobilisation using plaster cast
X48.9,Unspecified immobilisation using plaster cast
X49.1,Application of splint NEC
X49.2,Change of splint NEC
X49.3,Removal of splint NEC
X49.4,Skin traction
X49.5,Application of sling NEC
X49.6,Application of elastic support bandage NEC
X49.7,Application of gauze support bandage NEC
X49.8,Other specified other external support of limb
X49.9,Unspecified other external support of limb
X50.1,Direct current cardioversion
X50.2,External cardioversion NEC
X50.3,Advanced cardiac pulmonary resuscitation
X50.4,External ventricular defibrillation
X50.9,Unspecified external resuscitation
X51.1,Hypothermia therapy
X51.9,Unspecified change of body temperature
X52.1,Hyperbaric therapy
X52.8,Other specified oxygen therapy
X52.9,Unspecified oxygen therapy
X53.1,Excision of unspecified organ
X53.2,Excision of lesion of unspecified organ
X53.3,Destruction of lesion of unspecified organ
X53.8,Other specified extirpation of unspecified organ
X55.1,Biopsy of lesion of unspecified organ
X55.3,Fenestration of unspecified organ
X55.8,Other specified other operations on unspecified organ
X55.9,Unspecified other operations on unspecified organ
X56.1,Nasotracheal intubation
X56.2,Endotracheal intubation
X56.3,Tracheal intubation using laryngeal mask airway
X56.8,Other specified intubation of trachea
X56.9,Unspecified intubation of trachea
X58.1,Extracorporeal membrane oxygenation
X58.8,Other specified artificial support for body system
X59.1,Preoperative anaesthetic death
X59.8,Other specified anaesthetic without surgery
X59.9,Unspecified anaesthetic without surgery
X60.1,"Rehabilitation assessment by multidisciplinary, non-specialised team"
X60.2,"Rehabilitation assessment by multidisciplinary, specialised team"
X60.3,Rehabilitation assessment by unidisciplinary team
X60.4,Rehabilitation assessment by unidisciplinary specialised team
X60.8,Other specified rehabilitation assessment
X60.9,Unspecified rehabilitation assessment
X61.1,Functional therapy session
X61.2,Relaxation therapy session
X61.3,Body massage
X61.4,Movement therapy NEC
X61.8,Other specified complementary therapy
X61.9,Unspecified complementary therapy
X62.1,Assessment by uni-professional team NEC
X62.2,Assessment by multi-professional team NEC
X62.3,Assessment by multi-disciplinary team NEC
X62.8,Other specified assessment
X62.9,Unspecified assessment
X63.1,Volume definition for radiotherapy with imaging and intensity-modulated radiation therapy dosimetry
X63.2,"Volume definition for radiotherapy with imaging, dosimetry and technical support"
X63.3,Volume definition for multiple phases of complex radiotherapy with dosimetry
X63.6,"Volume definition for superficial or deep X-ray, electron or megavoltage radiotherapy with simple calculation"
X64.8,Other specified radiotherapy preparation
X65.1,Delivery of a fraction of total body irradiation
X65.2,Delivery of a fraction of intracavitary radiotherapy
